ctrl_deseq,ctrl_limma,LPS_deseq,LPS_limma
LINC03086,NTN4,PPCS,FHDC1
IGKV2D-29,INSM1,PKD1P5,TTC36-AS1
TMEM87A,LINC00942,FAM81A,IGHV6-1
EBI3,TMEM158,PIP4K2C,TCL6
IGLV5-45,IL36G,FTH1P22,IL21-AS1
IGKV1-9,TXLNB,SCARB1,PPP1R21
LAD1,BTNL9,NR4A1,IGHJ4
WNT5A,SLF2,ASMTL,NCK1
GLIS3,ZNF845,RCAN2,SYT4
SHLD2,IGHV3-33,TMLHE,SLC2A5
CCL24,IGHV3-13,IGLV3-21,SYNE3-AS1
PTGR1,MIR8071-2,TRGC2,FAM81A
CCL20,LINC00158,LINC01694,IGKV3-7
MMP14,IGLL5,LINC01781,L1TD1
NTN4,RPP30,H3C10,HOMER2
TRIP10,IGHV6-1,RASSF2,IGKV1-12
FNBP1L,MAS1,COL1A1,GALNT8
CGN,IGLV7-46,CRACDL,LINC00173
IGLV2-11,IGLV3-25,BTN3A3,FOXP3
SCART1,IGKV1-5,GYG1,CRACDL
LINC01484,IGKV4-1,NPR1,PPCS
VNN1,GAS6-AS1,RCC2,IGKV4-1
WDR5B,GPR68,TRAV39,KCNN3
CYTL1,IGKV3-15,CPSF6,LRRC32
CPXM1,IGHV1-69,GALNT8,AFMID
TNFAIP8L2,FANK1,FURIN,TK1
LINC01705,CHRNA3,MICU3,BLACE
LINC01781,IGHV3-30,FAM241A,CHIT1
CD46,PARM1,EFHC2,MTARC2
KLF3,IGHV3-53,GNL1,NUTM2F
PANX2,SH3BP5,IGKV1-12,IGHV3-49
CLGN,TRIP10,SPDYE6,IGKV1-5
IGKV2-30,CD1A,TMEM178B,IGHV2-70
RAD51AP1,ST3GAL2,TRGV8,IGHD6-25
OLFM3,VPS50,LINC01644,CDH1
GPR68,IGLV9-49,S100Z,SLC4A10
IRAK4,SPSB1,IGHV3-53,IGLC3
FANK1,IGKV2-24,MARK1,ALPL
IGKV3D-11,SPRED2,IQGAP2,MOXD1
IGLV3-21,LUM,IGLV2-14,LINC02968
ATP13A3-DT,IGHV3-43,LINC02968,IGKV1-9
BMP2,LINC02532,SLC66A3,PLAAT4
KIF26B,TLE1,FKBP5,RNF8
RHBDD2,NTNG1,METTL8,SLC16A14
TGFA,LINC01705,WASHC5,ZNF385C
NANOS3,LINC02541,FOXP3,BHLHA15
SHISA8,TIGD2,PRAMENP,COLCA1
COL1A1,ANKRD33B,KLC2,CUTALP
C3,SIGLEC5,SH3BGRL2,ANO7
MCC,ACHE,PLAAT2,OACYLP
BCAR3,SLC9A7P1,LINC00511,LINC02947
KRT79,C1orf115,TOMM40,PLD5
NFKB2,IL17F,MYO1D,APOBEC3H
CXCL1,IGKV2D-29,ATF7IP,AP1S3
IGKV3D-20,FA2H,GJB6,ADK
MMP9,KIAA0319,PTPN13,NR2E3
IL36G,LTK,TBC1D22A,IGHV3-30
MAP4K4,COL24A1,FAM8A1,IGLV3-12
BCL6,CXCL6,SYBU,TNFSF11
JAZF1,MCC,UCHL1,IGHJ6
STRIP2,TCP10L2,SPINT2,EVA1A
SPRY1,SLC28A3,IGHG1,LINC01694
APAF1,SLC2A5,NSMCE1-DT,WDR5B
CAV1,TRPV3,LINC02384,RPL36A-HNRNPH2
TNIP1,ARL14,PLPP2,CLMP
MS4A4E,SLC24A3,XCL2,DENND2D
CLEC6A,FAM124A,SPATC1,MIR155HG
CSF3,TREM1,SHISA8,SLC22A3
SDC3,IGHV3-11,SDE2,SHISA8
CEP170B,PRMT1,TSPAN31,FANCI
CXCL8,LORICRIN,COMMD4,PXMP2
SLC7A11-AS1,LTBP2,LINC01480,SETD7
HNF1B,TMEM249,TRPS1,PLPP7
IGLC2,FBXO27,CDC37L1,IL17A
MAPRE3,ATP13A3-DT,ACVRL1,DERL3
IGLV1-47,ADTRP,KSR1,IGHV1-18
ZNF808,UPB1,IGKV1-5,LARGE2
SPG11,CPXM1,RANBP1,FSCN2
RECQL,RELB,CDH1,HLA-DQA2
FOXP3,IL2RA,SPRYD7,IGHV3-11
OSBPL3,MMP9,STAMBP,NAA50
LTBP2,SHLD2,ITM2C,TBX4
SNX14,CYTL1,CD3D,CBFA2T3
C1orf115,JAZF1,PNRC2,MAP2
IGFBP5,GPR141,PNMA2,RANBP1P1
UGCG,BHLHA15,ARID1B,MILIP
FBN1,GFAP,IGHV1-3,LMNA
RNF32-DT,FERMT2,LINC02086,ARL14
ERI2,MAPRE3,RFX2,NSMCE1-DT
NEFH,NFKB2,KMT2D,IGKV1D-39
UPB1,PYCR1,FANK1,CATSPERD
LINC00942,NFATC4,RAB27A,LINC01605
AKAP12,IGKV1-17,IGKV2D-40,IGHV3-23
CEPT1,TAMALIN,HRK,CD300LB
TMEM158,TMEM132A,SLAMF6,NEFH
OSM,SCIN,NINL,FUT10
SH3BP5,ATP1A4,COL5A1,IGKV2-24
FAM13B,IGLV5-37,SLC26A5,KCNQ1
FSCN1,KLF3,CRBN,IGHJ3
HSD11B1,CAV1,ANKRD20A11P,IGKV1-39
FAM124A,AK8,VWA5A,NR4A1
SPRED2,EHF,TIMM23B-AGAP6,TGIF2-RAB5IF
ADAMTSL1,SAMD14,CFB,GLYATL2
FZD6,CNR1,IGKV2-29,FANK1
MEOX1,IGHV3-15,MTARC2,TRGV8
CDH1,IFT74,SLA2,SMPD4P1
KCNN1,SYNPO,STK38,TIGIT
NCS1,UCHL1,SETD7,IGHV4-59
MLLT1,MTCL1,HENMT1,SOD1-DT
HMGA1,IGHV2-70D,NEFH,PIP5K1B
SLC7A11,MUCL1,SYNGR2,LINGO4
