JAML,CCDC71L
TRAJ20,ATP5MC2P3
RFLNB,CX3CR1
PLEKHG2,ZNF366
ARHGAP30,AIF1
THEMIS,THEMIS
SYT11,AC011447.6
LAT,SORCS2
RNF213,AC022296.3
CYBB,TCF7L1
EYA1,AC084816.1
AL844892.2,ASB2
ESRRB,TCF3P1
LINC02000,AL355312.1
AIF1,MIAT
ETV7,STK32A
TRAJ12,RAB39B
FZD2,STAT5A
AC115522.1,LINC00885
AL357793.1,AC012354.1
HERC2P2,AIM2
CHST3,NCR1
SNTG2,LINC01588
CD3E,RNF166
CST4,AC008760.2
PCDHB8,ARHGAP30
Z82206.1,LILRB4
SAA2,HOPX
GOLGA5P1,APBA2
AL122058.1,CLEC2D
GBP2,PRRX2
SEMA5A,SIRPG
WASF3,ALOX15
TYMP,HLA-DQB2
DBH,TNFRSF25
AF127936.1,MYO9B
RNVU1-2,TMEM106A
CDH17,CD3D
FNBP1,NFKBIE
ELOA3,GNGT2
ANKRD62,BATF
PPARGC1A,VAMP1
HLA-DRB5,LRRN2
TRBV27,NRROS
KRT8P37,C1QB
AC090826.3,FZD2
PML,SCARA3
TNFRSF14-AS1,AC115522.1
TRBV7-9,AC136475.3
ANTXRLP1,C1orf162
LRRN2,FERMT3
ETS1,ZNF826P
JAKMIP2,PLEKHG2
BNIP5,NCR3
MSC-AS1,TPSB2
SLC25A45,CCDC158
GRAP2,IL2RA
MEI1,LTB
ITGAE,TLR7
CD6,PART1
SLC6A15,CD226
TBX21,AL512306.3
SLC2A6,APELA
HLA-W,PNMA3
HLA-DRB6,MEST
TESPA1,CHI3L2
AL022316.1,Z83844.2
IGHD,STAT2
FCHO1,KRT8P37
NR2E1,LCK
SKAP2,IVL
PAG1,CD8A
KIRREL1,LAMA3
FGFR1,UBA7
SAA1,LINC00926
GHR,JAKMIP2
CHI3L2,IFFO1
TRBV6-5,ZNF90
BATF,FGFR1
TNFAIP8L2,UNC13D
SLC34A2,CD3E
AL355312.1,LRRC8C
STAT5A,RBCK1
COL5A1,CSK
SLA2,AC007728.2
HLA-DOA,PPP2R2C
TGFBI,TENM2
GIMAP8,HCST
IFFO1,TMEM176A
HIC1,PSMB8-AS1
AC006449.2,AC139495.2
TRABD2B,ADORA2B
CGAS,SAMD9L
SPRR2F,SPRR2F
ALOX5,DDR2
TNFRSF25,TAP1
PLXND1,HS3ST3B1
HLA-DMA,ANKRD62
SARDH,GIMAP7
TNFAIP2,TNFAIP8L2
AC124319.3,ITGAE
CST7,INA
SEPTIN6,PARP15
CCDC71L,PLCB2
RAC2,MICAL1
RELL2,LRP4
MPEG1,ITGA1
INA,TNFAIP2
LINC00926,SLAMF7
CEACAM21,AC018630.1
AC012354.1,INSYN2B
APOL1,AL031846.2
HLA-DRB1,ST3GAL6-AS1
ARHGAP9,ADAMDEC1
PARP15,RAB43
AC007728.2,AC005224.2
LAIR1,KCNMB1
PPP2R2B,LINC02605
AC022202.1,SCIMP
HBB,TMEM97
SCIMP,RGS19
DDR2,LAT
LAX1,MXRA7
AC078864.1,CD247
Z85996.1,RET
CX3CR1,HS3ST3A1
AC022296.3,CGAS
TMEM106A,RASGRP1
INPP5D,GMIP
INSYN2B,AC090826.3
CD79A,ARHGAP22
MS4A1,TLR10
AC011447.6,KIRREL1
LINC01871,SEPTIN3
EEF1A1P14,AF131215.2
EOMES,IL18BP
CD52,EPSTI1
LINC00960,TRIM22
UGT2A1,RIPPLY3
GRHL3,KCNA3
TRANK1,ACTA2-AS1
AL031846.2,CST7
POU2F2,SEPTIN6
CD8A,HLA-W
PIK3CG,SLFN12L
LINC00996,SPRR2D
AF131215.5,IL21R
XCL1,ANTXRLP1
SSTR3,GLI3
CD244,SMAD9
GPR171,AC012645.3
AC012645.3,PSD4
SH2D2A,AC100858.3
NMUR1,BTLA
KCNAB2,PIK3CG
UNC5A,TNFRSF14-AS1
AL162586.2,UAP1L1
LINC01436,AL162586.2
SLFN12L,RNF44
AC109446.3,CTLA4
AC104530.1,HASPIN
THORLNC,LINC00960
