ctrl_deseq,ctrl_limma,LPS_deseq,LPS_limma
PPP2R5A,CYP4F29P,GCDH,ABCD2
HCFC2,LINC01147,TRBV7-9,ITPKA
SLC2A5,FADS3,RNF7,NUTM1
PPP2R5E,TTC34,LINC00937,IGHV2-70D
GAL3ST2,SPIB,CLEC7A,SLC9A7
LINC01229,ZNF28,HSPA12B,CA3-AS1
MRPL37,FAM131C,MN1,ADRB2
GPR141,SHANK1,IGLV1-44,ARHGAP44
DSN1,LINC02940,TERF2,CD3D
CA8,SAP30L,DAPK2,ADRB1
KIAA1671,RNF138,TESK2,KCNC3
PKP2,AK4,TMEM244,PGLYRP4
RPL17P50,SSR1,SLC44A3-AS1,IL3
FLT4,PLAUR,FGR,CTSW
MIS18BP1,NKD2,TTC7A,SPATA31G1
CYP1A1,MEST,CKAP2L,CABLES1
TBCEL,PNOC,ZNF611,PNOC
FUT10,ITM2C,CHI3L2,IGKV1D-43
ZNF75D,SLC25A37,SPAG6,LAMA5
TRAV39,GPAT2P1,EXOC1,PEX7
LOXL1-AS1,SPDYE21,PLCB4,ARL2
NRXN2,MYO1A,PHEX,C19orf33
ETV3,STAC,BRD8,ARHGAP5-AS1
BMP6,MYO1D,ANKRD13C,DPEP3
ZNF235,COG5,RAB38,FOXF1
TOMM40,CACNA1D,BBS4,FCRL5
FOXC1,SHISAL1,DET1,SDE2
RDH10,IGLV3-27,PABPC3,CCNP
FAM13A,FYB1,CLEC12A,TMEM74
METTL14,HECW2,TLK1,IGHV3-62
HS6ST1,DEPDC4,IGKV1-17,AGK-DT
PPP1R2B,PRKXP1,H2BC9,SNX22
MGST1,IGHV3-73,SLC9A7,TRIM52-AS1
TUT7,LINC01013,ERLIN1,SERF1B
RANBP1,TNFRSF18,TENT4A,EFHD1
VPS29,CLP1,ZNF600,TEAD1
SDS,PTPN1,SH2D4A,IRF8
RUVBL2,CYB5R2,C6orf62,DET1
ZNRF1,IRAK4,MYL12B,NCF1B
MT-TP,CDC42EP5,MMP3,RSL24D1P6
LINC01170,COMMD10,LRRC37A3,ANP32D
FBXO11,IL6,HSD17B11,COL1A1
RUVBL1,SNORD3A,MYO15B,ZNF423
GRIN3A,APBB1IP,TRPV3,IGKV7-3
USP2,NTSR1,TRAF3IP2,GINS1
NFATC4,TSKU,SMARCB1,FARP2
VWA8,RAPSN,TUBG1,NCCRP1
AMPD3,SEPSECS,SORD,GOLGA6L23P
PRR5L,DTHD1,LINC03062,COL4A4
TAF5,BANP,FSD1,FRMPD2
CSTPP1,LINC01413,RPL10P9,TMEM254
IGKV5-2,PHLDB1,PPP2R2B,TCF4
SLC25A24P1,PSMB8-AS1,TPMT,NKG7
SMIM3,LAMC1,TSLP,TNNI2
C17orf100,FOXK1,GPD2,MTND1P5
LINC02970,RIPOR3,ATP5F1E,PCK1
CCL23,MAN2A1,CCDC90B,LYPLAL1-DT
MICALL1,LINC01926,MOXD1,LINC02356
PTGES3,RFX2,LHFPL2,ATF7IP
RDH5,CELF2,SLC8A1,PF4V1
ZGRF1,STIMATE-MUSTN1,IGHV1-18,IGHD4-23
RACGAP1,NT5E,MIR4645,TMED7
TK2,IGHV2-70,VAV3,CES3
FFAR3,MAP1LC3C,BTN1A1,PRSS57
MEMO1P1,WSB1,PYHIN1,EMP2
NKD2,COL22A1,IGHV6-1,TESC-AS1
ENHO,TBC1D28,ELMO2,IGHV3-32
IGHG1,FAM13B,WDR26,MIR5195
CKLF,SLC11A1,DMRT2,RTKN2
C10orf95-AS1,FSD1,FSCN2,C7orf57
PGRMC2,IGKV3-20,NCK1-DT,GPR137C
C5orf67,LINC01342,IGFBP4,PRKCH
CCDC26,RPS17P16,DENND6A,ATN1
SCMH1,KIF26B,FN1,PIP4K2C
MRGBP,TMEM244,TAMALIN,MAPK8IP1
DNASE2,STK33,EVA1C,TMEM45A
DYRK4,E2F3,SNHG31,WWC1
SKIC8,ENHO,DCPS,LINC01961
PDLIM7,VPS54,DDX27,LINC02099
FTLP3,ADAMTS14,SIN3B,CHRAC1
MAP3K4,UBALD2,IRF8,SLC34A3
NT5C3B,CCL3L3,CD8A,KLC2
SLAMF6,FOXP4-AS1,CHRNA5,SPAG6
FBXO22,IGKV2-29,ADAT2,MYBL1
DGAT2L6,COL27A1,MAML3,HSD11B2
ENTPD5,DENND2D,IGLV3-19,FAM72C
LRP10,CNKSR3,SBF2-AS1,BLOC1S5-TXNDC5
FCGR2C,LNCAROD,MYO10,TMEM178B
INPP5A,RECQL,HARBI1,E2F1
VPS8,COL4A4,TFIP11,PNCK
NFIA,C14orf39,FHL1P1,P3R3URF-PIK3R3
FNTA,GALM,LRRCC1,IGHV3OR16-13
IGHV3-13,TUBB8,ST7L,TCEANC2
BHLHE22,OSBPL10,PCSK1N,LINC01182
IL19,GZF1,PMS2P5,SERTAD1
CNKSR3,WDR26,TRAP1,ADAMTS9-AS2
SAP30,DCPS,APOBEC3A,INHCAP
JSRP1,MUC17,SYNE1,MEF2C-AS1
GPAT2P1,DUSP5-DT,ZNF319,ZNF641
ANKRD52,STRIP2,HLA-DRB6,RBMXP5
THOP1,KCNQ4,QPCT,DLK2
RETN,LINC02513,POU2F2,RPL12P27
MTHFS,GGT5,NIN,KIF5C
CPOX,ZNF687-AS1,GPLD1,C15orf61
COG3,MMP14,PEX7,MEMO1P1
TLR4,COX6B2,COX7A2,TAF7L
LINC00989,SNHG18,CD48,BCKDHA
GALNT2,BBS2,BAZ2B,COSMOC
CADPS2,SPATA3-AS1,MIR9-1HG,CSGALNACT2-DT
CRLF2,GRIA1,PTPRA,CRYBA4
AMH,RNFT2,TRMO,IGKV3D-20
TTC34,TDRD10,FNBP1L,TMPRSS15
PSMB8-AS1,HAS1,EMP3,IGLV3-13
TNFRSF12A,GPRC5A,RERE,C6orf58
ZBTB49,MYLK,INTS3,CADPS
MSR1,KDM6B,YTHDF1,SCRN1
SERPINE1,FAM78B,CNKSR3,ACP2
KDM6B,SLIRP,MED8,FHL1P1
SLC4A10,CYP27B1,E2F7,ZNF160
SGO2,DNALI1,IFI27,PABPC1
EYA2,C10orf95-AS1,CACNB2,TUBG1
TMEM238,ABHD15-AS1,CA8,CNR1
NIPBL,IFNLR1,THBD,ACOXL
ARID5A,NFKBIA,F2R,SERPINA6
DCPS,CDH1,IGHV4-39,FCRL6
WNT3,ADAT2,KIR2DS4,RTN3P1
FAIM,IL17A,LINC03033,GPLD1
DENND2D,SNW1,NONOP2,ASB12
HEY1,TMEM38A,DENND5B-AS1,WASHC5
TNFRSF11B,SLC7A5,MT1L,RAP1GAP
NUPR1,TNFSF11,GDE1,NPW
KCNJ5,RIMS3,CDC16,CRYBB1
ERG,WDR41,CLEC16A,GLDC
GSTA4,PLAAT4,ADD2,MAP4K3-DT
CEP135,MREG,ENPP5,CCL22
PPP1R17,GPX3,MTERF1,TMEM60
LPAR4,NLRP4,KLRD1,SMIM36
ODR4,LINC03033,MDFIC,TAS1R3
PAXBP1,ZNF25,NR4A2,RTL8C
SIGLEC15,RPS24P8,NOD2,RPL11P1
ZNF823,MGST1,ZNF83,RN7SL753P
IGKV1-16,GALNT8,POLR2A,MINPP1
PTP4A2P1,ADCY3,EFHD1,IGHD6-6
FAM72B,SH2D4B,FFAR1,IGHV2-5
DTHD1,TVP23C-CDRT4,RIPK3,MROH8
MEST,CRIM1,CDK8,NPIPB2
MCUB,TOMM40,DLK2,LOXL3
TRAF4,IGLJ3,ZFP3,ZNF658
JAK3,PLD5,OCLN,CLDN4
GCKR,ANKRD20A11P,IGKV3-15,IGHD3-22
TSPAN4,CEACAMP3,NCALD,KITLG
BTG2-DT,YAP1,SATB1-AS1,CACNA1B
HEATR5A,IGFBP5,UPB1,LOXL1-AS1
RNFT2,MUC19,RTL8C,IGKV3-20
ZNF432,HS6ST1,FOXO4,RBM25-AS1
FARS2,NOL12,HCG20,TRAV39
ZNF615,LINC01163,STAT6,GABRR3
FERRY3,CNN3,ACBD6,HSFX2
ASB2,MAFF,SEH1L,IGLV3-16
HEATR3,SGO2,SLC16A1,DIRAS1
TRAPPC8,VWA8,COL4A4,IFNLR1
HSD17B2-AS1,NRSN2,ZMYM2,COX16
ADGRA2,ERMP1,DLC1,PHLDB3
ORAI2,IL23R,UBXN2B,SRSF9P1
IL36RN,GIN1,LOXL1-AS1,RNF223
IGHV4-39,IGKV3-11,IGLV2-8,CCDC184
FGF12,CLGN,NDE1,DHCR7
TYRO3,LUCAT1,FYB1,IGLV4-3
SETDB2,AKAP10,GCSAM,C1S
TNFRSF13C,ERI2,GZMA,GPR157
HSD11B1-AS1,TPM3P5,STOM,ST6GALNAC3
AP1S3,VPS29,COLQ,IGHV4-28
SPATC1,ZBTB33,FARP2,MPL
TOMM22,SLC46A3,PMAIP1,ATP5MJ
NDP,DDIT3,ARID1A,TNXA
PTPRG,CHDH,BAZ2A,IGKV6D-21
IGHV1-3,LINC01388,BRPF1,IGKV5-2
S1PR3,SAMD10,TMA16,CEP164P1
SNHG26,ACSM5,TTC9,EDEM1
A2M-AS1,IGLV3-1,PTBP1,OPTN
CXCL2,LINC02963,GUCY1B1,C17orf99
FSD1,MICALL1,CEP192,SLC26A5
CD70,ERGIC1,MANBA,SLC16A12
SCGB1A1,SERPINE1,BACH2,LINC02065
SCARA5,CA10,CSF3R,CHRNA3
RPS4XP2,PYROXD1,APAF1,NONOP2
ADD2,SETDB2,NDP,UTS2B
LGR6,GYG1,RANBP6,MT1DP
DNAAF5,INHCAP,TOR1AIP1,FBXO38-DT
GGNBP2,RPL39P38,ST14,HECW2
SMIM43,DSN1,RCE1,TMEM38A
SMAD1,ZGRF1,GATA2,SPECC1L-ADORA2A
TNKS2,SLC25A24P1,TRBV6-6,HCRTR1
GPX3,TNFRSF12A,TRAV13-1,HR
CPAMD8,SERPINB7,APCDD1L-DT,IGLV1-41
POU2F2,CADM2,LINC02084,BBOX1-AS1
PPIF,CLEC17A,JAM2,TRAJ34
ECRG4,LGALSL,MOAP1,PKDREJ
BORCS7,PDYN-AS1,TCN2,PROSER2
TMEM26,GTF2IP14,MIAT,CLPB
ERCC6L2-AS1,GLDC,BRSK2,TBCC
FCGR3B,FLT1,ELOVL5,BBS2
SPINT1-AS1,ZNRF1,MPHOSPH9,CDH13-AS2
IGLV7-46,EMILIN1,HDAC7,TADA2A
FASTKD1,THA1P,BIRC2,POLN
CACNA1D,HRH4,NFYA,IGHV1-58
CMSS1,CCR6,D2HGDH,CLDND2
HNRNPKP2,IGLV2-5,CFLAR,COX7A1
CD44,BCAR1,LTK,MICD
HSD17B14,CLDN11,SLC12A2,IGHD3-10
NFXL1,TMEM238,YBX1,CNN2P9
SHLD2P1,TXNDC16,NTN4,PCDH1
TIGIT,IGFN1,PDRG1,ERMP1
MSNP1,COL6A5,DHRS12,ZFAND2B
LRRCC1,KIF26A,MTHFSD,SYT9-AS1
AGTPBP1,PRAME,CAMTA2,RPS6KA6
PLD5,SIGLEC15,ELK3,SAMD3
SBNO2,USP7-AS1,FAM120B,FAM186A
GNG7,SEMA3G,ATP6V1A,TPTE2P1
AGGF1,LINC02296,FNDC4,GLI1
GLDC,RDH10,FBXO2,PDE6A
ABCG2,METTL8,LAX1,ZNF608
ZMYM2,LINC03086,INTS11,CDK6-AS1
TRPC4,IGLV3-10,PTPN22,JSRP1
METTL9,LRRC40,TMEM60,YWHAB
AMZ2P1,UBE4A,AFF3,KLRD1
PIM2,PPP1R9A,NBEAL1,TNNC2
RPL39P38,BCAS1,MCOLN2,IGHV3-73
LINC02884,CCL20,WDR4,IGHV1-69
FOLR2,SPRY3,SPTA1,MAP10
CCDC120,LINC01266,PCF11,DCPS
ETS2,LINC01961,FARSA,UGT2B17
TARID,SLAMF6,ZFTA,GATA3-AS1
LINC01492,CCL1,TMEM229B,COPDA1
STX1A,SREBF2,PATL2,PYCR1
SRF,FAM217A,EIF3FP3,IGHV3-35
PLSCR4,IGHV3-69-1,JAZF1-AS1,LOX
SYT4,ACKR3,ASB14,HVCN1
ADGRB3,MRPL37,KPNA1,ZNF711
FBXO4,FBXO16,PNKD,GPR182
RRM1,SPINT1-AS1,BAIAP2L1,HARBI1
FBXO16,ARHGAP42,POLR3E,LINC01589
DHRS9,ZNG1E,SIGLEC1,TPSB2
TFIP11,CAMK2B,PES1,ADGRG1
CASP8AP2,PI16,ANKMY2,CD27-AS1
TWIST1,LINC02709,YKT6,MYBL2
USPL1,MON1A,GNPTAB,LINC01754
APCDD1L,LINC02223,SF3B1,LINC01692
GSR,ZBTB16,KLC1,LINC01307
ATG12,SPATC1,CBFA2T3,BCAR3
CYSLTR2,SYN3,LDLR,LRRC3-DT
DDO,ENTPD5,RBM39,SLC20A1
DGAT2,INHBA,HDC,IL9RP1
RFX2,IGHV4-61,SSH2,DDN-AS1
C1QBP,APBB2,TPGS1,PNMA2
GLB1L2,FBXO4,SDHC,GAPDHP52
APCDD1,FUT10,SLC27A3,PTP4A3
TMEM200A,MYBPC2,CSGALNACT1,DYNC1I1
TMEM135,LVRN,FOXO1,CCL1
IGHV5-51,ABCD3,TBCEL,ARMC3
PGAM1P8,CD1B,GPSM1,NFATC4
LINC02296,TBCC,CFAP20DC,ARID1B
WNT6,HSPA5P1,HDGFL3,GOLGA7B
RARA,E2F7,SEC11C,AHRR
ZNF844,CD24,TADA3,DMC1
SEMA6D,LPAR3,PAWR,LINC02932
ANO2,HSD11B1-AS1,RUVBL2,MYRF
NDE1,PDE8B,APOBR,LARP4B-DT
HSPA14,MAPK11,GPR141,SLAMF8
PPFIBP1,DENND2B,TOGARAM2,MPV17L2
APBB2,ADGRG6,TCF4,DNAH11
MAT2A,PRDM7,SDHAF3,ALOX5
RNF182,C10orf55,SND1,MLLT3
ZC3H11B,USP32P3,CDC42SE1,ZNF593OS
IGHV3-64,VSX2,CD2AP,SERPINF1
MAPK11,TEDC2,LPAR1,SERPINA9
LRP8,LRRC37A2,KIFBP,ANKRD26P3
B4GALNT1,SLC30A6-DT,IGHV3-11,LINC01991
ERAP1,TMEM150C,YBX1P10,TROAP
GNPTAB,LYPD6B,ARL17B,CFAP141
IFT22,GOLGA1,PGAM5,SRSF3P1
CAMK2B,PPM1H,LINC02100,CD24
CLDN16,MPZL1,NAIP,REEP1
ZNF649,TMEM50B,KLRG1,PTENP1
S100A12,RUVBL1,NSMAF,ZNF691
CEP192,FAM72B,PTPRU,PLEKHG7
SLC26A5,PROSER3,ING3,CD34
LINC01266,NAV1,MAGI3,MYG1-AS1
IGHV2-70D,PLCD3,MARCHF2,CFAP20DC
AMMECR1,PIK3R3,CD70,TBX15
RANBP6,GARIN2,TRMT10A,MCC
PLPP2,ALG5,PURB,SOSTDC1
WASHC5,LINC00928,ZNF3,ACP7
EXO1,SLC35G2,ZNF80,DLL3
DUSP5-DT,SLC26A9,TRAF6,IGHV1-2
SNW1,UFD1-AS1,NBPF2P,NRG4
NRSN2,GGT1,MPV17L2,ZFYVE19
RHOT1,NCR3,TAF15,DNM1P51
LINC02376,HSPA7,ZNF658,INPP5F
STYK1,JSRP1,ENPP4,MAPK12
STIMATE-MUSTN1,LIMCH1,GAS7,RDM1P3
CAPN7,ENAH,RANBP3,COL19A1
ABITRAM,ALDH1B1,RAP1GAP,IRF2BP2
MAP3K14,SAP30,AKR1B1,LGALS12
TNNI1,ABCG2,WNT11,FASLG
TRPV3,LRP8,RBBP9,FZD3
MYO1D,SLC38A3,CEP170B,FOXD1
COL4A5,NEFH,THOC5,SIGMAR1
NAMPTP1,SEC14L6,SGSM3,NPPA
MSANTD3-TMEFF1,BCLAF1P2,SASH1,LINC02274
ST3GAL1,TNFRSF11B,CBLB,FCRL1
RASSF8,LINC00863,MESD,ATP6V1G2
SLC25A30,ZNF616,ATP10B,EVA1C
CD82,MTHFS,SGK1,TRAP1
GNGT2,CPA5,PTGER2,PAGE5
SAMHD1,LINC01492,PANK2,FAM85B
PRKAB2,TRAV17,ZFP36,RBM24
IQGAP2,TUT7,RRAS2,HNRNPA1P28
FOXD4,FZD6,SNX14,CCDC181
SYNPO,SPCS2P4,HAPLN3,LERFS
SLC8A1,TENT5C,GOLGA7,SERPINC1
C3orf62,LGALS8,PRSS23,FAM124B
TBC1D28,LINC02376,CD3G,SMIM26
TSPAN31,MACROD2,RPL26,EMP3
NSMCE1-DT,OSM,MXRA8,PLA2G12AP1
TSC22D2,SH3BGRL2,TMEM135,CDC16
TTC8,UNC5C,TSPAN5,SHE
TMEM144,METTL14,ABCD2,SLC17A9
ZCCHC8,KDM4A,ATAD5,HMGB3P32
EPHB4,TK1,BBS10,TRAJ17
LILRB5,ACP7,MT1X,MTERF1
DHX57,RNF103-CHMP3,LINC00598,POU2F2
THSD7A,CXCL2,LINC00899,TCEAL8
CD84,FTOP1,LINC01934,PKHD1L1
ARL2BP,IGKV3-7,LINC01679,HACD4
BBS2,FBXO10,SNORD3A,TFIP11-DT
IREB2,ENOX2,NPC2,LINC01703
DNAJC13,MPPE1,HIC2,HSD17B11
ADD3,LINC02801,NBEA,LINC02084
MED27,LINC02320,CARMIL3,CLEC20A
IGLV1-40,CD93,HNMT,LINC01811
LINC02828,NDC80,TUFT1,LINC01134
LINC02909,DNAJB5,CHRAC1,LINC02201
PATL2,ZNF607,PRMT9,UCK2
LINC02940,LINC01058,AMPH,PERM1
IGKV2D-40,WDR86-AS1,ZNF561,PROM1
WASH5P,VWA5B1,KCNQ5,ATXN7L3B
RPLP0P9,MSRB2,ID2-AS1,NAT8
DESI2,DNAAF5,RANBP3-DT,ACRV1
SLC30A6-DT,METTL1,RGPD1,LINC01668
ITGB7,ZFP3,ICA1,GTF2IRD1P1
MYLK,HYAL3,YIPF1,TMEM244
WASF1,GRIA3,EIF4G1,PIRAT1
USP48,NECTIN4,TNFSF4,CEP83-DT
HS3ST3B1,ZNF788P,EP400,ZNF663P
ASGR2,HOXB-AS1,IGHV3-15,FNDC4
PDZK1IP1,TNKS2-DT,MINDY1,ING4
HADHA,RASL10A,HNRNPLL,MPC1-DT
ADAMTS14,ZNF649,TMEM138,OR7E14P
ZNF614,DOCK11P1,MTM1,FAM149B1
ZFYVE19,ST20-AS1,ZBTB2,S100A2
PDE4DIPP4,XPO1,CD9,CHRNA9
EPS15,RORC,TG,OXSM
SLC35G2,CHIT1,COL5A3,RRP12
TNKS1BP1,SLFN12,RPH3A,SPATA18
TBC1D2B,CKLF,SLC25A17,SLC16A1
RNF139,LINC00520,PIM2,RAB5IF
NOL8,LINC02202,IGDCC4,RAB30-DT
ZBTB10,PET100,TNKS2,MTCO2P4
COL27A1,CCL24,PHF13,CHST8
RIPOR3,DENND4C,FGFBP2,ZNF319
CPVL,GATA3-AS1,CASP1,RNF7
ORC3,PRUNE2,TARS2,IGHD2-2
SLC16A9,AKR1C4,TMEM44,MT-TF
LINC00158,GPR65,IGFBP3,SPATA25
RRN3P1,CELF4,ZNF711,BMPR1B
SIGLEC5,CRACDL,ZNF215,MLC1
GCGR,GPAT2P2,PTPRD,CALCRL-AS1
CNOT2,SUB1P1,NODAL,IGKV3OR2-268
LINC03033,SCMH1,VPS8,PIK3C2B
TNFSF15,CFAP144P1,C7orf57,PLA2R1
ZNF83,SCARA5,ZNF180,LRIG3
RFTN1,CDON,SNRNP48,TRBV6-4
TTC23,SERF2,MCRIP2,CH25H
EHD1,LINC01426,OAZ2,ZNF730
VOPP1,LIAT1,RPH3AL,MTCL2
PPBP,MIR155HG,NCR1,PDZRN3
C19orf48P,SMG1P4,NUDT16,IGHV5-78
WWP1P1,ELOCP2,IGHV1-24,H2BC9
ADGRE1,FANCI,IGHV3-64,RNF222
MARCHF5,MYT1,NPIPB5,LSP1P4
APPL2,ACOT12,LINC02432,TFIP11
TOPBP1,ARL16,ZNF594-DT,LNCOC1
ARID1B,WASF1,MMP24OS,FOXO6
NTSR1,TSPAN31,C10orf88,PRSS12
DSCAM,SHE,SLC11A2,RASL11B
MAFF,RPS6KA6,SMYD5,ME1
PPP3CB-AS1,DENND5B-AS1,LYAR,ITM2C
SLC7A5,FKBP9,SEC22B4P,MT1X
ANKMY2,KMT5A,C6orf89,MSLNL
TMEM171,NT5C3B,CASS4,CAND2
CENPV,ERAP1,RAB29,CCND1
ARV1,SERBP1P1,TRIM65,FKBP14-AS1
ZNF594-DT,RPL7P51,HFM1,LINC01411
MBTD1,FECH,IGKV2-24,PXDNL
DOCK11P1,RPL21P89,MAPK8IP1,RERE
ZC3H12A,DDX59-AS1,HVCN1,OR10AH1P
FAM111A,EOMES,BUB3,MSL3-DT
IGLV5-37,HNRNPA1P21,BTLA,PPP1R9B
IDH1,LRRC28,ZDHHC18,LINC02809
LYRM4,MILIP,ADGRF4,IHH
SLC66A3,NDUFA11,SLAMF7,DNAJB6P1
FAM118B,PPAN-P2RY11,XRCC1,KMT2D
ING3,HSD3BP5,ITCH,GLRA4
FRMPD2,AMPD3,APMAP,C5AR2
ANXA4,IL17RD,PF4V1,TMEM200A
LUCAT1,MMP2,MADD,DIAPH3
CROT,PPP4R3B,SLC22A18,VPS26C
ALG5,LPGAT1-AS1,RGS3,SSH2
CAVIN4,ST13P18,TAF4B,FRG1KP
CYP4F29P,CD34,EIF4EBP2,LYZL6
AKR1B1,PNPLA1,OXSM,GCDH
IL17A,FAM111A,SOAT2,RPH3AL
SEC31A,FARS2,VAMP5,RITA1
NKX3-1,DHX9P1,ZNF615,IGLV3-10
CD300A,TSPAN14-AS1,ZNF607,ADAMTS3
PSMG1,ANKRD49,APCDD1L,GLYATL1B
IGKV1D-16,CRLF1,HCG27,SAGE1
RHOBTB1,IGHV7-4-1,ZNF844,ENO4
CCDC14,SLC15A5,ATP5PBP5,NAXD-AS1
NOL12,VOPP1-DT,CNN2,PTGR3
HENMT1,LINC01089,CPOX,RNVU1-15
RPS17P16,CCND1,NOL9,SLAMF6
ALPL,NMRAL2P,TFIP11-DT,HOMER2P1
DTYMK,A2M-AS1,MAP3K14,IGKV2-29
ORMDL1,RUVBL2,TIMM50,LINC01498
SLCO5A1,TM4SF1,KRBA1,KDM6B
ZNF547,RIMBP2,ZNF189,STK17A
TCN2,SLC6A3,ILDR1,CD9
ZNF600,GLRA2,ARHGAP18,PIP5KL1
ZNF366,FAM157A,MPPE1,ITPRIPL1
AP5M1,LINC01637,PSAP,MRPS31P2
DDHD1,FAM220CP,PPRC1,TRAJ26
PROCR,SLC35B3,ARID5A,TLCD1
LGALS8,SLC25A47,MIDEAS,PKDCC
RELCH,WASF3,RPL10P19,RAET1K
PRSS35,EPS8L2,ALOX5,DCDC1
DPYS,LINC01050,ZNF532,MGAT4D
ENOX2,ACY3,PPP1R9B,IGKV1D-17
BCL2L1,IGHG3,KLF16,NCAM2
SYT15,TSPAN33,ZNF230,HORMAD2
